task   id   group   session   trial   condition   trialxcondition   perceived_liking   perceived_familiarity   perceived_intensity
hedonicreactivity   100   control   second   38    MilkShake   19   7.774725e+01   6.675824e+01   7.197802e+01
hedonicreactivity   100   control   second   39    Empty   20   3.653846e+01   4.368132e+01   3.681319e+01
hedonicreactivity   100   control   second   40    MilkShake   20   7.884615e+01   6.401099e+01   7.280220e+01
hedonicreactivity   102   control   second   1    MilkShake   1   75   8.818681e+01   6.895604e+01
hedonicreactivity   102   control   second   2    Empty   1   5.631868e+01   8.928571e+01   3.653846e+01
hedonicreactivity   102   control   second   3    MilkShake   2   7.087912e+01   8.956044e+01   7.609890e+01
hedonicreactivity   102   control   second   4    Empty   2   6.538462e+01   8.818681e+01   3.296703e+01
hedonicreactivity   102   control   second   5    Empty   3   8.324176e+01   9.120879e+01   2.719780e+01
hedonicreactivity   102   control   second   6    MilkShake   3   5.576923e+01   9.175824e+01   8.461538e+01
hedonicreactivity   102   control   second   7    Empty   4   8.626374e+01   9.175824e+01   2.390110e+01
hedonicreactivity   102   control   second   8    MilkShake   4   6.730769e+01   9.148352e+01   6.923077e+01
hedonicreactivity   102   control   second   9    Empty   5   6.868132e+01   9.065934e+01   3.076923e+01
hedonicreactivity   102   control   second   10    MilkShake   5   5.467033e+01   9.038462e+01   7.197802e+01
hedonicreactivity   102   control   second   11    MilkShake   6   6.208791e+01   8.956044e+01   7.225275e+01
hedonicreactivity   102   control   second   12    Empty   6   5.467033e+01   8.928571e+01   1.291209e+01
hedonicreactivity   102   control   second   13    Empty   7   6.346154e+01   8.983516e+01   3.901099e+01
hedonicreactivity   102   control   second   14    MilkShake   7   5.467033e+01   9.175824e+01   7.774725e+01
hedonicreactivity   102   control   second   15    Empty   8   5.521978e+01   8.928571e+01   2.060440e+01
hedonicreactivity   102   control   second   16    MilkShake   8   6.565934e+01   9.038462e+01   7.829670e+01
hedonicreactivity   102   control   second   17    Empty   9   6.730769e+01   9.010989e+01   3.076923e+01
hedonicreactivity   102   control   second   18    MilkShake   9   4.560440e+01   8.791209e+01   8.516484e+01
hedonicreactivity   102   control   second   19    MilkShake   10   6.730769e+01   9.038462e+01   6.456044e+01
hedonicreactivity   102   control   second   20    Empty   10   5.741758e+01   9.093407e+01   3.159341e+01
hedonicreactivity   102   control   second   21    MilkShake   11   5.357143e+01   9.175824e+01   7.939560e+01
hedonicreactivity   102   control   second   22    Empty   11   8.104396e+01   9.093407e+01   2.362637e+01
hedonicreactivity   102   control   second   23    MilkShake   12   4.642857e+01   9.065934e+01   7.664835e+01
hedonicreactivity   102   control   second   24    Empty   12   7.747253e+01   9.175824e+01   3.021978e+01
hedonicreactivity   102   control   second   25    MilkShake   13   4.148352e+01   9.038462e+01   7.307692e+01
hedonicreactivity   102   control   second   26    Empty   13   7.060440e+01   9.175824e+01   2.994505e+01
hedonicreactivity   102   control   second   27    MilkShake   14   5.384615e+01   9.175824e+01   6.428571e+01
hedonicreactivity   102   control   second   28    Empty   14   7.637363e+01   9.175824e+01   2.280220e+01
hedonicreactivity   102   control   second   29    Empty   15   7.692308e+01   9.175824e+01   3.489011e+01
hedonicreactivity   102   control   second   30    MilkShake   15   3.516484e+01   9.175824e+01   8.269231e+01
hedonicreactivity   102   control   second   31    Empty   16   7.335165e+01   9.175824e+01   2.060440e+01
hedonicreactivity   102   control   second   32    MilkShake   16   5.467033e+01   9.120879e+01   6.950549e+01
hedonicreactivity   102   control   second   33    Empty   17   75   9.175824e+01   3.049451e+01
hedonicreactivity   102   control   second   34    MilkShake   17   4.313187e+01   9.038462e+01   8.379121e+01
hedonicreactivity   102   control   second   35    Empty   18   7.664835e+01   9.175824e+01   2.637363e+01
hedonicreactivity   102   control   second   36    MilkShake   18   5.741758e+01   9.175824e+01   7.060440e+01
hedonicreactivity   102   control   second   37    Empty   19   7.884615e+01   9.175824e+01   2.280220e+01
hedonicreactivity   102   control   second   38    MilkShake   19   6.208791e+01   9.175824e+01   6.730769e+01
hedonicreactivity   102   control   second   39    MilkShake   20   5.961538e+01   9.175824e+01   6.593407e+01
hedonicreactivity   102   control   second   40    Empty   20   8.406593e+01   9.175824e+01   3.653846e+01
hedonicreactivity   105   control   second   1    Empty   1   6.291209e+01   50   5.357143e+01
hedonicreactivity   105   control   second   2    MilkShake   1   6.620879e+01   7.307692e+01   4.395604e+01
hedonicreactivity   105   control   second   3    MilkShake   2   8.076923e+01   7.609890e+01   4.340659e+01
hedonicreactivity   105   control   second   4    Empty   2   6.016484e+01   6.510989e+01   4.258242e+01
hedonicreactivity   105   control   second   5    Empty   3   7.417582e+01   7.197802e+01   4.587912e+01
hedonicreactivity   105   control   second   6    MilkShake   3   6.620879e+01   6.483516e+01   6.483516e+01
hedonicreactivity   105   control   second   7    Empty   4   5.851648e+01   4.175824e+01   7.362637e+01
hedonicreactivity   105   control   second   8    MilkShake   4   6.483516e+01   7.280220e+01   5.906593e+01
hedonicreactivity   105   control   second   9    MilkShake   5   5.934066e+01   6.840659e+01   6.071429e+01
hedonicreactivity   105   control   second   10    Empty   5   5.659341e+01   4.697802e+01   7.362637e+01
hedonicreactivity   105   control   second   11    Empty   6   5.631868e+01   4.642857e+01   6.950549e+01
hedonicreactivity   105   control   second   12    MilkShake   6   7.197802e+01   7.417582e+01   7.802198e+01
hedonicreactivity   105   control   second   13    MilkShake   7   7.252747e+01   7.087912e+01   7.527473e+01
hedonicreactivity   105   control   second   14    Empty   7   6.263736e+01   4.340659e+01   7.829670e+01
hedonicreactivity   105   control   second   15    MilkShake   8   7.719780e+01   7.829670e+01   6.373626e+01
hedonicreactivity   105   control   second   16    Empty   8   6.263736e+01   4.093407e+01   7.692308e+01
hedonicreactivity   105   control   second   17    MilkShake   9   5.961538e+01   5.357143e+01   6.703297e+01
hedonicreactivity   105   control   second   18    Empty   9   5.741758e+01   4.560440e+01   6.813187e+01
hedonicreactivity   105   control   second   19    MilkShake   10   7.609890e+01   8.571429e+01   7.005495e+01
hedonicreactivity   105   control   second   20    Empty   10   5.604396e+01   4.725275e+01   6.538462e+01
hedonicreactivity   105   control   second   21    MilkShake   11   6.648352e+01   7.582418e+01   6.950549e+01
hedonicreactivity   105   control   second   22    Empty   11   5.714286e+01   4.670330e+01   6.785714e+01
hedonicreactivity   105   control   second   23    Empty   12   5.467033e+01   4.642857e+01   6.043956e+01
hedonicreactivity   105   control   second   24    MilkShake   12   6.620879e+01   8.131868e+01   7.472527e+01
hedonicreactivity   105   control   second   25    Empty   13   6.648352e+01   5.219780e+01   5.631868e+01
hedonicreactivity   105   control   second   26    MilkShake   13   8.461538e+01   8.708791e+01   7.637363e+01
hedonicreactivity   105   control   second   27    MilkShake   14   8.708791e+01   8.379121e+01   7.472527e+01
hedonicreactivity   105   control   second   28    Empty   14   5.686813e+01   4.780220e+01   5.247253e+01
hedonicreactivity   105   control   second   29    Empty   15   5.274725e+01   3.928571e+01   6.813187e+01
hedonicreactivity   105   control   second   30    MilkShake   15   7.115385e+01   7.005495e+01   6.016484e+01
hedonicreactivity   105   control   second   31    Empty   16   5.384615e+01   4.670330e+01   6.153846e+01
hedonicreactivity   105   control   second   32    MilkShake   16   6.923077e+01   8.461538e+01   8.736264e+01
hedonicreactivity   105   control   second   33    Empty   17   5.769231e+01   5.302198e+01   6.785714e+01
hedonicreactivity   105   control   second   34    MilkShake   17   7.802198e+01   8.489011e+01   8.379121e+01
hedonicreactivity   105   control   second   35    Empty   18   5.494505e+01   5.247253e+01   6.785714e+01
hedonicreactivity   105   control   second   36    MilkShake   18   7.912088e+01   8.159341e+01   8.434066e+01
hedonicreactivity   105   control   second   37    MilkShake   19   6.978022e+01   6.923077e+01   5.714286e+01
hedonicreactivity   105   control   second   38    Empty   19   5.796703e+01   4.065934e+01   6.758242e+01
hedonicreactivity   105   control   second   39    Empty   20   4.752747e+01   3.379121e+01   6.923077e+01
hedonicreactivity   105   control   second   40    MilkShake   20   6.620879e+01   50   7.554945e+01
hedonicreactivity   106   control   second   1    MilkShake   1   5.439560e+01   7.307692e+01   5.467033e+01
hedonicreactivity   106   control   second   2    Empty   1   50   8.901099e+01   2.362637e+01
hedonicreactivity   106   control   second   3    Empty   2   4.697802e+01   7.774725e+01   4.010989e+01
hedonicreactivity   106   control   second   4    MilkShake   2   5.521978e+01   7.225275e+01   5.604396e+01
hedonicreactivity   106   control   second   5    MilkShake   3   5.961538e+01   7.115385e+01   5.412088e+01
hedonicreactivity   106   control   second   6    Empty   3   50   6.785714e+01   4.587912e+01
hedonicreactivity   106   control   second   7    MilkShake   4   5.961538e+01   7.362637e+01   5.467033e+01
hedonicreactivity   106   control   second   8    Empty   4   4.670330e+01   5.906593e+01   4.670330e+01
hedonicreactivity   106   control   second   9    MilkShake   5   5.961538e+01   6.510989e+01   5.439560e+01
hedonicreactivity   106   control   second   10    Empty   5   50   6.016484e+01   3.956044e+01
hedonicreactivity   106   control   second   11    Empty   6   4.560440e+01   6.071429e+01   4.505495e+01
hedonicreactivity   106   control   second   12    MilkShake   6   5.934066e+01   6.291209e+01   6.373626e+01
hedonicreactivity   106   control   second   13    Empty   7   4.835165e+01   5.879121e+01   3.791209e+01
hedonicreactivity   106   control   second   14    MilkShake   7   6.016484e+01   6.648352e+01   5.906593e+01
hedonicreactivity   106   control   second   15    MilkShake   8   6.208791e+01   6.291209e+01   6.401099e+01
hedonicreactivity   106   control   second   16    Empty   8   4.368132e+01   6.428571e+01   3.598901e+01
hedonicreactivity   106   control   second   17    MilkShake   9   6.016484e+01   6.016484e+01   5.549451e+01
hedonicreactivity   106   control   second   18    Empty   9   4.038462e+01   5.659341e+01   3.434066e+01
hedonicreactivity   106   control   second   19    Empty   10   3.846154e+01   6.318681e+01   4.615385e+01
hedonicreactivity   106   control   second   20    MilkShake   10   5.796703e+01   5.796703e+01   5.439560e+01
hedonicreactivity   106   control   second   21    Empty   11   4.230769e+01   6.538462e+01   4.038462e+01
hedonicreactivity   106   control   second   22    MilkShake   11   50   6.401099e+01   5.686813e+01
hedonicreactivity   106   control   second   23    MilkShake   12   5.659341e+01   5.879121e+01   5.604396e+01
hedonicreactivity   106   control   second   24    Empty   12   4.148352e+01   5.796703e+01   3.681319e+01
hedonicreactivity   106   control   second   25    Empty   13   3.021978e+01   5.631868e+01   3.956044e+01
hedonicreactivity   106   control   second   26    MilkShake   13   5.631868e+01   5.576923e+01   50
hedonicreactivity   106   control   second   27    MilkShake   14   5.302198e+01   5.329670e+01   5.439560e+01
hedonicreactivity   106   control   second   28    Empty   14   2.664835e+01   5.549451e+01   3.049451e+01
hedonicreactivity   106   control   second   29    MilkShake   15   50   5.906593e+01   50
hedonicreactivity   106   control   second   30    Empty   15   2.802198e+01   5.439560e+01   3.351648e+01
hedonicreactivity   106   control   second   31    MilkShake   16   4.560440e+01   6.043956e+01   5.274725e+01
hedonicreactivity   106   control   second   32    Empty   16   3.901099e+01   7.005495e+01   3.571429e+01
hedonicreactivity   106   control   second   33    Empty   17   2.719780e+01   5.412088e+01   5.329670e+01
hedonicreactivity   106   control   second   34    MilkShake   17   50   5.467033e+01   5.384615e+01
hedonicreactivity   106   control   second   35    Empty   18   2.362637e+01   5.934066e+01   5.384615e+01
hedonicreactivity   106   control   second   36    MilkShake   18   4.752747e+01   5.934066e+01   4.560440e+01
hedonicreactivity   106   control   second   37    Empty   19   3.489011e+01   6.016484e+01   50
hedonicreactivity   106   control   second   38    MilkShake   19   50   5.549451e+01   50
hedonicreactivity   106   control   second   39    MilkShake   20   4.917582e+01   5.439560e+01   50
hedonicreactivity   106   control   second   40    Empty   20   3.901099e+01   6.263736e+01   3.543956e+01
hedonicreactivity   107   control   second   1    MilkShake   1   7.417582e+01   8.241758e+01   6.675824e+01
hedonicreactivity   107   control   second   2    Empty   1   3.543956e+01   5.906593e+01   3.653846e+01
hedonicreactivity   107   control   second   3    MilkShake   2   7.747253e+01   8.461538e+01   7.554945e+01
hedonicreactivity   107   control   second   4    Empty   2   2.802198e+01   4.093407e+01   3.626374e+01
hedonicreactivity   107   control   second   5    MilkShake   3   8.076923e+01   8.461538e+01   6.675824e+01
hedonicreactivity   107   control   second   6    Empty   3   2.142857e+01   7.060440e+01   5.796703e+01
hedonicreactivity   107   control   second   7    Empty   4   3.049451e+01   7.362637e+01   4.010989e+01
hedonicreactivity   107   control   second   8    MilkShake   4   7.362637e+01   7.060440e+01   6.098901e+01
hedonicreactivity   107   control   second   9    Empty   5   2.774725e+01   7.225275e+01   3.736264e+01
hedonicreactivity   107   control   second   10    MilkShake   5   8.049451e+01   7.884615e+01   7.445055e+01
hedonicreactivity   107   control   second   11    Empty   6   2.252747e+01   7.087912e+01   3.434066e+01
hedonicreactivity   107   control   second   12    MilkShake   6   7.884615e+01   7.142857e+01   6.675824e+01
hedonicreactivity   107   control   second   13    Empty   7   1.840659e+01   6.895604e+01   3.626374e+01
hedonicreactivity   107   control   second   14    MilkShake   7   6.868132e+01   8.406593e+01   7.197802e+01
hedonicreactivity   107   control   second   15    MilkShake   8   7.692308e+01   8.516484e+01   6.730769e+01
hedonicreactivity   107   control   second   16    Empty   8   3.818681e+01   7.362637e+01   3.021978e+01
hedonicreactivity   107   control   second   17    MilkShake   9   7.774725e+01   8.516484e+01   6.648352e+01
hedonicreactivity   107   control   second   18    Empty   9   3.846154e+01   7.390110e+01   2.692308e+01
hedonicreactivity   107   control   second   19    MilkShake   10   6.978022e+01   7.692308e+01   6.098901e+01
hedonicreactivity   107   control   second   20    Empty   10   1.620879e+01   7.197802e+01   4.010989e+01
hedonicreactivity   107   control   second   21    Empty   11   2.582418e+01   6.895604e+01   3.681319e+01
hedonicreactivity   107   control   second   22    MilkShake   11   7.747253e+01   8.214286e+01   6.950549e+01
hedonicreactivity   107   control   second   23    Empty   12   3.296703e+01   7.060440e+01   3.461538e+01
hedonicreactivity   107   control   second   24    MilkShake   12   8.076923e+01   8.241758e+01   6.785714e+01
hedonicreactivity   107   control   second   25    Empty   13   3.571429e+01   6.263736e+01   4.120879e+01
hedonicreactivity   107   control   second   26    MilkShake   13   8.021978e+01   7.609890e+01   6.703297e+01
hedonicreactivity   107   control   second   27    Empty   14   2.857143e+01   7.115385e+01   4.065934e+01
hedonicreactivity   107   control   second   28    MilkShake   14   7.060440e+01   4.450549e+01   5.851648e+01
hedonicreactivity   107   control   second   29    Empty   15   2.994505e+01   6.538462e+01   3.296703e+01
hedonicreactivity   107   control   second   30    MilkShake   15   7.802198e+01   8.186813e+01   7.280220e+01
hedonicreactivity   107   control   second   31    Empty   16   3.324176e+01   6.868132e+01   2.884615e+01
hedonicreactivity   107   control   second   32    MilkShake   16   8.296703e+01   7.939560e+01   7.005495e+01
hedonicreactivity   107   control   second   33    MilkShake   17   7.692308e+01   7.637363e+01   7.005495e+01
hedonicreactivity   107   control   second   34    Empty   17   2.197802e+01   7.142857e+01   3.653846e+01
hedonicreactivity   107   control   second   35    Empty   18   2.032967e+01   6.813187e+01   3.626374e+01
hedonicreactivity   107   control   second   36    MilkShake   18   7.609890e+01   8.131868e+01   6.813187e+01
hedonicreactivity   107   control   second   37    MilkShake   19   75   7.967033e+01   6.565934e+01
hedonicreactivity   107   control   second   38    Empty   19   3.653846e+01   6.483516e+01   2.527473e+01
hedonicreactivity   107   control   second   39    MilkShake   20   7.252747e+01   7.307692e+01   6.318681e+01
hedonicreactivity   107   control   second   40    Empty   20   3.406593e+01   7.774725e+01   6.620879e+01
hedonicreactivity   108   control   second   1    Empty   1   6.373626e+01   7.252747e+01   3.653846e+01
hedonicreactivity   108   control   second   2    MilkShake   1   8.406593e+01   8.379121e+01   7.335165e+01
hedonicreactivity   108   control   second   3    MilkShake   2   8.708791e+01   8.571429e+01   7.747253e+01
hedonicreactivity   108   control   second   4    Empty   2   7.225275e+01   7.445055e+01   3.873626e+01
hedonicreactivity   108   control   second   5    Empty   3   6.703297e+01   8.241758e+01   3.901099e+01
hedonicreactivity   108   control   second   6    MilkShake   3   8.598901e+01   8.461538e+01   7.170330e+01
hedonicreactivity   108   control   second   7    MilkShake   4   8.104396e+01   8.159341e+01   7.637363e+01
hedonicreactivity   108   control   second   8    Empty   4   6.456044e+01   8.214286e+01   3.708791e+01
hedonicreactivity   108   control   second   9    MilkShake   5   8.241758e+01   8.489011e+01   7.664835e+01
hedonicreactivity   108   control   second   10    Empty   5   7.280220e+01   8.241758e+01   3.434066e+01
hedonicreactivity   108   control   second   11    Empty   6   7.307692e+01   8.461538e+01   3.241758e+01
hedonicreactivity   108   control   second   12    MilkShake   6   8.021978e+01   8.159341e+01   7.060440e+01
hedonicreactivity   108   control   second   13    Empty   7   6.868132e+01   7.912088e+01   3.076923e+01
hedonicreactivity   108   control   second   14    MilkShake   7   7.994505e+01   7.637363e+01   6.950549e+01
hedonicreactivity   108   control   second   15    MilkShake   8   7.994505e+01   8.296703e+01   7.280220e+01
hedonicreactivity   108   control   second   16    Empty   8   7.609890e+01   8.406593e+01   4.230769e+01
hedonicreactivity   108   control   second   17    MilkShake   9   7.115385e+01   7.197802e+01   6.236264e+01
hedonicreactivity   108   control   second   18    Empty   9   6.401099e+01   7.692308e+01   3.708791e+01
hedonicreactivity   108   control   second   19    Empty   10   6.456044e+01   7.554945e+01   2.912088e+01
hedonicreactivity   108   control   second   20    MilkShake   10   7.609890e+01   8.434066e+01   7.032967e+01
hedonicreactivity   108   control   second   21    MilkShake   11   7.994505e+01   8.076923e+01   7.060440e+01
hedonicreactivity   108   control   second   22    Empty   11   6.593407e+01   8.296703e+01   4.175824e+01
hedonicreactivity   108   control   second   23    MilkShake   12   7.692308e+01   8.296703e+01   6.813187e+01
hedonicreactivity   108   control   second   24    Empty   12   6.510989e+01   8.076923e+01   3.653846e+01
hedonicreactivity   108   control   second   25    MilkShake   13   7.802198e+01   8.076923e+01   6.978022e+01
hedonicreactivity   108   control   second   26    Empty   13   6.236264e+01   7.774725e+01   3.818681e+01
hedonicreactivity   108   control   second   27    Empty   14   6.373626e+01   7.857143e+01   3.021978e+01
hedonicreactivity   108   control   second   28    MilkShake   14   8.076923e+01   8.516484e+01   7.390110e+01
hedonicreactivity   108   control   second   29    MilkShake   15   7.692308e+01   8.296703e+01   6.895604e+01
hedonicreactivity   108   control   second   30    Empty   15   6.291209e+01   7.884615e+01   3.021978e+01
hedonicreactivity   108   control   second   31    Empty   16   6.236264e+01   7.802198e+01   2.060440e+01
hedonicreactivity   108   control   second   32    MilkShake   16   8.214286e+01   8.434066e+01   6.840659e+01
hedonicreactivity   108   control   second   33    MilkShake   17   7.554945e+01   7.829670e+01   6.263736e+01
hedonicreactivity   108   control   second   34    Empty   17   6.813187e+01   8.049451e+01   2.829670e+01
hedonicreactivity   108   control   second   35    Empty   18   7.335165e+01   8.461538e+01   3.598901e+01
hedonicreactivity   108   control   second   36    MilkShake   18   7.307692e+01   7.747253e+01   6.318681e+01
hedonicreactivity   108   control   second   37    MilkShake   19   8.434066e+01   8.214286e+01   6.703297e+01
hedonicreactivity   108   control   second   38    Empty   19   7.005495e+01   8.131868e+01   2.857143e+01
hedonicreactivity   108   control   second   39    MilkShake   20   8.406593e+01   8.543956e+01   6.895604e+01
hedonicreactivity   108   control   second   40    Empty   20   6.620879e+01   7.802198e+01   1.868132e+01
hedonicreactivity   109   control   second   1    MilkShake   1   5.412088e+01   7.774725e+01   5.384615e+01
hedonicreactivity   109   control   second   2    Empty   1   50   8.763736e+01   1.236264e+01
hedonicreactivity   109   control   second   3    Empty   2   50   8.928571e+01   1.071429e+01
hedonicreactivity   109   control   second   4    MilkShake   2   5.467033e+01   8.516484e+01   5.412088e+01
hedonicreactivity   109   control   second   5    MilkShake   3   5.412088e+01   8.681319e+01   5.357143e+01
hedonicreactivity   109   control   second   6    Empty   3   50   9.148352e+01   1.263736e+01
hedonicreactivity   109   control   second   7    MilkShake   4   5.247253e+01   9.175824e+01   5.329670e+01
hedonicreactivity   109   control   second   8    Empty   4   50   9.175824e+01   1.016484e+01
hedonicreactivity   109   control   second   9    MilkShake   5   50   9.175824e+01   50
hedonicreactivity   109   control   second   10    Empty   5   50   9.175824e+01   50
hedonicreactivity   109   control   second   11    Empty   6   4.752747e+01   9.175824e+01   1.208791e+01
hedonicreactivity   109   control   second   12    MilkShake   6   4.670330e+01   9.175824e+01   4.697802e+01
hedonicreactivity   109   control   second   13    Empty   7   50   9.175824e+01   1.016484e+01
hedonicreactivity   109   control   second   14    MilkShake   7   4.258242e+01   9.175824e+01   4.395604e+01
hedonicreactivity   109   control   second   15    MilkShake   8   3.681319e+01   9.175824e+01   3.653846e+01
hedonicreactivity   109   control   second   16    Empty   8   50   9.175824e+01   1.016484e+01
hedonicreactivity   109   control   second   17    Empty   9   50   9.175824e+01   9.615385e+00
hedonicreactivity   109   control   second   18    MilkShake   9   1.950549e+01   9.175824e+01   2.554945e+01
hedonicreactivity   109   control   second   19    Empty   10   50   9.175824e+01   1.043956e+01
hedonicreactivity   109   control   second   20    MilkShake   10   8.241758e+00   9.175824e+01   25
hedonicreactivity   109   control   second   21    Empty   11   50   9.175824e+01   1.126374e+01
hedonicreactivity   109   control   second   22    MilkShake   11   8.241758e+00   9.175824e+01   2.252747e+01
hedonicreactivity   109   control   second   23    MilkShake   12   8.241758e+00   9.175824e+01   2.005495e+01
hedonicreactivity   109   control   second   24    Empty   12   50   9.175824e+01   1.153846e+01
hedonicreactivity   109   control   second   25    MilkShake   13   8.241758e+00   9.175824e+01   1.593407e+01
hedonicreactivity   109   control   second   26    Empty   13   50   50   50
hedonicreactivity   109   control   second   27    Empty   14   50   9.175824e+01   1.071429e+01
hedonicreactivity   109   control   second   28    MilkShake   14   8.241758e+00   9.175824e+01   1.291209e+01
hedonicreactivity   109   control   second   29    MilkShake   15   8.241758e+00   9.175824e+01   1.565934e+01
hedonicreactivity   109   control   second   30    Empty   15   50   9.175824e+01   1.016484e+01
hedonicreactivity   109   control   second   31    Empty   16   50   9.175824e+01   1.181319e+01
hedonicreactivity   109   control   second   32    MilkShake   16   8.241758e+00   9.175824e+01   1.840659e+01
hedonicreactivity   109   control   second   33    MilkShake   17   8.241758e+00   9.175824e+01   1.153846e+01
hedonicreactivity   109   control   second   34    Empty   17   50   9.175824e+01   9.615385e+00
hedonicreactivity   109   control   second   35    MilkShake   18   8.241758e+00   9.175824e+01   1.098901e+01
hedonicreactivity   109   control   second   36    Empty   18   50   9.175824e+01   1.098901e+01
hedonicreactivity   109   control   second   37    Empty   19   50   9.175824e+01   1.153846e+01
hedonicreactivity   109   control   second   38    MilkShake   19   8.241758e+00   9.175824e+01   1.456044e+01
hedonicreactivity   109   control   second   39    Empty   20   50   9.175824e+01   1.098901e+01
hedonicreactivity   109   control   second   40    MilkShake   20   8.241758e+00   9.175824e+01   1.373626e+01
hedonicreactivity   110   control   second   1    Empty   1   5.274725e+01   5.769231e+01   3.928571e+01
hedonicreactivity   110   control   second   2    MilkShake   1   6.730769e+01   6.703297e+01   6.318681e+01
hedonicreactivity   110   control   second   3    Empty   2   4.175824e+01   5.769231e+01   5.604396e+01
hedonicreactivity   110   control   second   4    MilkShake   2   6.291209e+01   6.456044e+01   6.291209e+01
hedonicreactivity   110   control   second   5    Empty   3   5.357143e+01   5.467033e+01   4.670330e+01
hedonicreactivity   110   control   second   6    MilkShake   3   6.126374e+01   6.016484e+01   6.043956e+01
hedonicreactivity   110   control   second   7    MilkShake   4   6.346154e+01   7.362637e+01   5.824176e+01
hedonicreactivity   110   control   second   8    Empty   4   50   7.197802e+01   50
hedonicreactivity   110   control   second   9    Empty   5   50   8.626374e+01   50
hedonicreactivity   110   control   second   10    MilkShake   5   5.906593e+01   6.071429e+01   4.258242e+01
hedonicreactivity   110   control   second   11    Empty   6   50   7.527473e+01   5.357143e+01
hedonicreactivity   110   control   second   12    MilkShake   6   6.510989e+01   8.076923e+01   5.851648e+01
hedonicreactivity   110   control   second   13    MilkShake   7   4.505495e+01   6.978022e+01   6.071429e+01
hedonicreactivity   110   control   second   14    Empty   7   4.697802e+01   6.593407e+01   4.697802e+01
hedonicreactivity   110   control   second   15    MilkShake   8   5.796703e+01   6.950549e+01   5.714286e+01
